Step 0: train_loss 4.4753, val loss 4.4709
Step 500: train_loss 1.7545, val loss 1.8982
Step 1000: train_loss 1.4441, val loss 1.6592
Step 1500: train_loss 1.3164, val loss 1.5615
Step 2000: train_loss 1.2308, val loss 1.5298
Step 2500: train_loss 1.1701, val loss 1.5305
Step 3000: train_loss 1.1107, val loss 1.5229
Step 3500: train_loss 1.0550, val loss 1.5329
Step 4000: train_loss 1.0049, val loss 1.5600
Step 4500: train_loss 0.9464, val loss 1.5706


10.788929 M parameters
Step 0: train loss 4.2846, val loss 4.2820
Step 500: train loss 1.8904, val loss 2.0036
Step 1000: train loss 1.5355, val loss 1.7283
Step 1500: train loss 1.3932, val loss 1.6090
Step 2000: train loss 1.3080, val loss 1.5522
Step 2500: train loss 1.2494, val loss 1.5155
Step 3000: train loss 1.2013, val loss 1.4973
Step 3500: train loss 1.1566, val loss 1.4850
Step 4000: train loss 1.1220, val loss 1.4853
Step 4500: train loss 1.0832, val loss 1.4774
Step 4999: train loss 1.0500, val loss 1.5006


10.788929 M parameters
Step 0: train loss 4.2221, val loss 4.2306
Step 500: train loss 1.7505, val loss 1.9071
Step 1000: train loss 1.3929, val loss 1.6032
Step 1500: train loss 1.2667, val loss 1.5276
Step 2000: train loss 1.1893, val loss 1.5051
Step 2500: train loss 1.1210, val loss 1.4929
Step 3000: train loss 1.0721, val loss 1.4842
Step 3500: train loss 1.0199, val loss 1.5095
Step 4000: train loss 0.9600, val loss 1.5225
Step 4500: train loss 0.9101, val loss 1.5403
Step 4999: train loss 0.8601, val loss 1.5710
